dataset,method,n_runs,mean_diff_h,ci_lo_h,ci_hi_h,delta_h,verdict,ci_width_h
"IMS (invariant re-baseline, D-2)",TCN-Autoencoder,3,2.398148148148143,-1.3888888888889142,9.0,1.0,inconclusive,10.388888888888914
"IMS (invariant re-baseline, D-2)",Transformer-AD,3,22.328703703703706,-1.3888888888889142,68.79166666666669,1.0,inconclusive,70.1805555555556
XJTU-SY,3σ Rule (σ=3.0),10,0.03,0.0,0.06500000000000004,1.0,equivalent,0.06500000000000004
XJTU-SY,"CUSUM (k=0.5, h=5.0)",10,-0.0003333333333333299,-0.012000000000000033,0.013000000000000045,1.0,equivalent,0.025000000000000078
XJTU-SY,Deep SVDD,10,0.014999999999999996,-0.038333333333333344,0.06466666666666668,1.0,equivalent,0.10300000000000002
XJTU-SY,"EWMA (λ=0.2, k=3.0)",10,-0.0023333333333333097,-0.011666666666666648,0.005000000000000028,1.0,equivalent,0.016666666666666677
XJTU-SY,Hotelling T²,10,0.08766666666666666,0.0,0.2596666666666666,1.0,equivalent,0.2596666666666666
XJTU-SY,Isolation Forest,10,-0.10016666666666665,-0.16172361111111105,-0.04143888888888891,1.0,equivalent,0.12028472222222214
XJTU-SY,LSTM-Autoencoder,3,0.05555555555555566,0.0,0.16666666666666696,1.0,equivalent,0.16666666666666696
XJTU-SY,One-Class SVM (nu=0.05),10,0.006333333333333346,0.0,0.019000000000000038,1.0,equivalent,0.019000000000000038
XJTU-SY,RMS-Trend (kσ),10,-0.015000000000000008,-0.055041666666666676,0.015000000000000003,1.0,equivalent,0.07004166666666668
XJTU-SY,TCN-Autoencoder,3,0.0,0.0,0.0,1.0,equivalent,0.0
XJTU-SY,Transformer-AD,3,0.0,0.0,0.0,1.0,equivalent,0.0
FEMTO,3σ Rule (σ=3.0),6,-0.21277777777777787,-0.4488425925925926,-0.04064814814814818,1.0,equivalent,0.4081944444444444
FEMTO,"CUSUM (k=0.5, h=5.0)",6,0.09759259259259263,-0.004814814814814693,0.2065740740740741,1.0,equivalent,0.2113888888888888
FEMTO,Deep SVDD,6,-0.015092592592592595,-0.040092592592592596,0.0018518518518518476,1.0,equivalent,0.041944444444444444
FEMTO,"EWMA (λ=0.2, k=3.0)",6,0.07796296296296296,-0.0045393518518518396,0.16287037037037036,1.0,equivalent,0.1674097222222222
FEMTO,Hotelling T²,6,-0.01870370370370365,-0.32064814814814807,0.19444444444444445,1.0,equivalent,0.5150925925925925
FEMTO,Isolation Forest,6,-0.17962962962962967,-0.5046296296296297,0.025000000000000005,1.0,equivalent,0.5296296296296297
FEMTO,LSTM-Autoencoder,6,-0.06070987654320986,-0.11302469135802469,-0.013425925925925916,1.0,equivalent,0.09959876543209878
FEMTO,One-Class SVM (nu=0.05),6,-0.053425925925925925,-0.25925925925925924,0.07490740740740742,1.0,equivalent,0.33416666666666667
FEMTO,RMS-Trend (kσ),6,-0.1225925925925926,-0.32666666666666666,-0.003518518518518525,1.0,equivalent,0.32314814814814813
FEMTO,TCN-Autoencoder,6,-0.008858024691358024,-0.040277777777777746,0.014444444444444421,1.0,equivalent,0.054722222222222165
FEMTO,Transformer-AD,6,-0.07673611111111112,-0.15326678240740743,-0.017708333333333326,1.0,equivalent,0.1355584490740741
Ferrara,3σ Rule (σ=3.0),6,-0.12180555555555556,-0.43240740740740735,0.07972222222222218,1.0,equivalent,0.5121296296296295
Ferrara,"CUSUM (k=0.5, h=5.0)",6,0.023564814814814816,-0.0013888888888888935,0.05250115740740742,1.0,equivalent,0.05389004629629631
Ferrara,Deep SVDD,6,-0.007222222222222216,-0.015879629629629622,0.00037152777777777954,1.0,equivalent,0.0162511574074074
Ferrara,"EWMA (λ=0.2, k=3.0)",6,-0.16740740740740737,-0.5595833333333332,0.04638888888888889,1.0,equivalent,0.6059722222222221
Ferrara,Hotelling T²,6,-0.07847222222222225,-0.35115740740740753,0.08981481481481479,1.0,equivalent,0.4409722222222223
Ferrara,Isolation Forest,6,-0.16199074074074074,-0.49513888888888885,0.04877777777777762,1.0,equivalent,0.5439166666666665
Ferrara,LSTM-Autoencoder,6,-0.0729938271604939,-0.2550000000000001,0.039398148148148106,1.0,equivalent,0.29439814814814824
Ferrara,One-Class SVM (nu=0.05),6,-0.00861111111111113,-0.057962962962962945,0.0231504629629629,1.0,equivalent,0.08111342592592585
Ferrara,RMS-Trend (kσ),6,0.005046296296296289,-0.015010416666666672,0.02305555555555554,1.0,equivalent,0.038065972222222216
Ferrara,TCN-Autoencoder,6,-0.08933641975308637,-0.29211419753086404,0.022777777777777803,1.0,equivalent,0.3148919753086418
Ferrara,Transformer-AD,6,-0.082391975308642,-0.3530092592592593,0.09052469135802473,1.0,equivalent,0.443533950617284
ONGC,3σ Rule (σ=3.0),1,-0.011666666666670267,-0.011666666666670267,-0.011666666666670267,1.0,untestable (n=1 run),0.0
ONGC,"CUSUM (k=0.5, h=5.0)",1,0.0018333333333373503,0.0018333333333373503,0.0018333333333373503,1.0,untestable (n=1 run),0.0
ONGC,Deep SVDD,1,0.0122222222222222,0.0122222222222222,0.0122222222222222,1.0,untestable (n=1 run),0.0
ONGC,"EWMA (λ=0.2, k=3.0)",1,-0.012111111111110517,-0.012111111111110517,-0.012111111111110517,1.0,untestable (n=1 run),0.0
ONGC,Hotelling T²,1,0.10961111111111421,0.10961111111111421,0.10961111111111421,1.0,untestable (n=1 run),0.0
ONGC,Isolation Forest,1,0.20461111111110597,0.20461111111110597,0.20461111111110597,1.0,untestable (n=1 run),0.0
ONGC,LSTM-Autoencoder,1,-0.15711111111111364,-0.15711111111111364,-0.15711111111111364,1.0,untestable (n=1 run),0.0
ONGC,One-Class SVM (nu=0.05),1,0.0038888888888877204,0.0038888888888877204,0.0038888888888877204,1.0,untestable (n=1 run),0.0
ONGC,RMS-Trend (kσ),1,4.574611111111114,4.574611111111114,4.574611111111114,1.0,untestable (n=1 run),0.0
ONGC,TCN-Autoencoder,1,-0.15716666666666868,-0.15716666666666868,-0.15716666666666868,1.0,untestable (n=1 run),0.0
ONGC,Transformer-AD,1,0.0038888888888877204,0.0038888888888877204,0.0038888888888877204,1.0,untestable (n=1 run),0.0
