src_line,level,title,page_start,page_end,words,sentences,mean_sent,p90_sent
0,front,"Front matter: title, abstract, keywords",1,1,321,11,29.2,49
81,section,Introduction,1,2,918,30,30.5,45
103,section,Related Work,,,0,0,,0
105,subsection,"Prognostics, CBM, and Lead-Time Metrics",2,3,346,14,24.7,47
112,subsection,Anomaly Detectors and Control Charts,3,3,376,12,31.3,54
119,subsection,Uncertainty Quantification and Conformal Prediction,3,3,59,2,29.5,30
122,subsection,Vibration Features,3,3,57,2,28.5,36
125,subsection,SCADA-Based Condition Monitoring,3,4,55,2,27.5,39
128,section,Datasets,4,4,447,15,29.6,52
159,section,Methodology,,,0,0,,0
161,subsection,Problem Formulation and Notation,4,4,98,4,24.5,34
164,subsection,Channel-Invariant Feature Schema,4,5,189,4,47.2,58
169,subsection,Leakage-Free Degradation Onset,5,5,485,15,32.3,49
207,subsection,Onset-Relative Lead-Time Metric,5,6,256,11,23.3,35
227,subsection,Detectors,6,6,392,7,55.7,43
234,subsection,Conformal Calibration,6,6,67,2,33.5,40
237,subsection,SCADA Sampling Sweep,6,6,97,3,32.3,47
241,subsection,At What Level Coarsening Is Applied,6,6,192,8,24,33
247,subsection,Statistical Protocol,6,7,277,11,25.2,38
255,section,Experimental Setup,7,7,83,4,20.8,28
258,section,Results,7,7,35,3,11.7,21
262,subsection,Lead Time and Confidence Intervals on IMS,7,7,226,6,37.7,54
274,subsection,Sensitivity of the Onset Definition,7,9,747,21,35.5,57
336,subsection,Generalization to XJTU-SY ($n=10$ bearings),9,9,258,6,43,49
350,subsection,Generalization to FEMTO/PRONOSTIA ($n=6$ bearings),9,9,181,5,36.2,66
353,subsection,Generalization to University of Ferrara ($n=6$ bearings),9,10,106,3,35.3,48
356,subsection,Aggregate vs Decimate on IMS: a Positive but Inconsistent Median Shift,10,10,303,7,43.3,51
370,subsection,Multiple-Comparison Correction,10,11,439,13,33.6,57
408,subsection,Conformal Calibration,11,12,297,11,27,39
423,subsection,Lead-Time--vs--False-Alarm Trade-off,12,13,573,19,30.2,60
447,subsection,Feature-Group Ablation,13,14,297,6,49.5,69
471,subsection,Comparison with the Saxena Prognostic Horizon,14,14,356,11,32.3,57
483,subsection,Minimum Training Data for Deep Anomaly Detectors,14,15,503,14,35.9,70
499,section,Discussion,,,0,0,,0
502,subsection,What Changed the Story,15,15,92,2,46,62
505,subsection,Why the IMS Trend Appears but Is Neutral Elsewhere,15,15,318,9,35.3,59
510,subsection,Why Aggregation Preserves What Decimation Loses,15,16,337,14,24.1,34
520,subsection,Practical Implications,16,16,185,4,46.2,61
523,section,Limitations and Threats to Validity,16,17,836,28,29.7,53
541,section,Conclusion,17,17,287,8,35.9,55
544,section,Acknowledgments,17,17,61,3,20.3,24
547,section,Data and Code Availability,17,18,536,11,48.7,66
-1,section*,References,18,19,891,100,8.1,13
557,section,Appendix A: Reproducibility Settings,19,20,127,3,42.3,51
599,section,Appendix B: The 49-Dimensional Invariant Feature Space,20,20,109,3,36.3,65
623,section,Appendix C: IMS Test-3 Relabeling Justification,20,21,606,20,30.3,47
658,section,Appendix D: Mechanism Analysis and ONGC Case Study,,,0,0,,0
660,subsection,D.1 Generic Smoothing vs.\ Historian Averaging,21,22,484,14,34.6,60
673,subsection,D.2 Single-Asset ONGC Case Study,22,22,345,11,31.4,45
